Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TETS,TreatmentCONV...TreatmentRWA,2.26537639829536,NA,NA,10.4956854433225,1.49630076875237,0.148165267342436,0.366873474766884,-5.94346720412413
TEM,TreatmentCONV...TreatmentRWA,-0.309071320234096,-0.504448909849027,-0.113693730619166,9.09843525515003,-0.659775883285537,0.515328072817157,0.965332868798336,-6.82693945469705
TETH,TreatmentCONV...TreatmentRWA,6.42206471248445,1.16615178669001,11.6779776382789,6.33255168493264,2.57055698332873,0.0194453428540138,0.0760656058701126,-3.92316667648558
TETC,TreatmentCONV...TreatmentRWA,-0.928584856490382,-0.951328308023596,-0.905841404957167,6.27306587905551,-1.4134696399837,0.170650480620477,0.372073998729892,-6.05770296930384
CTX,TreatmentCONV...TreatmentRWA,2.18182256556655,-0.5713429630881,4.9349880942212,5.55157201058487,1.70026563263172,0.111256974993399,0.284561109117733,-5.35492395922449
AAC6-PRIME,TreatmentCONV...TreatmentRWA,2.07524021888622,0.717443705228258,3.43303673254418,5.34888478772059,4.29336810995593,0.000337089204315465,0.00344868185953514,-0.122800480868904
CRP,TreatmentCONV...TreatmentRWA,4.32161386726115,3.15064372888237,5.49258400563994,5.06292251826463,6.75124001432888,4.53249906647291e-06,0.000150705593960224,4.37190223693252
ANT6,TreatmentCONV...TreatmentRWA,-1.33314838962434,-2.80392558896619,0.137628809717518,4.05504556381125,-1.51538012598258,0.149809356757946,0.366873474766884,-5.60828487198521
LNUA,TreatmentCONV...TreatmentRWA,-3.40179243315961,-5.77817058521754,-1.02541428110168,3.82026958374624,-2.00176646833743,0.0718029366297102,0.198953970244822,-4.87085223844704
QACH,TreatmentCONV...TreatmentRWA,6.92390726746087,6.54929780417918,7.29851673074256,3.70289844901445,5.34759433814627,0.000202370684126431,0.00299058899875725,0.850652461429014
LMRD,TreatmentCONV...TreatmentRWA,5.16098773169719,2.81175526224431,7.51022020115006,3.61762188864277,4.44949452965596,0.000628368995634037,0.00491606331878394,-0.327780805459264
DFRA,TreatmentCONV...TreatmentRWA,-0.368686889966606,-2.42338634023011,1.6860125602969,3.55813840216066,-1.07734982402809,0.298996833419328,0.593531027533889,-6.22030109693958
ACRB,TreatmentCONV...TreatmentRWA,1.90663357915909,-28.699834237481,32.5131013957992,3.43914045547633,1.99417000663178,0.0664111804374825,0.195014884345154,-4.89398523858854
ACC,TreatmentCONV...TreatmentRWA,3.3817736912643,2.84216087172499,3.92138651080361,3.29170442197577,5.59394299008191,0.000282720601627915,0.00318846253561816,0.719602842035203
MDTB,TreatmentCONV...TreatmentRWA,2.40650011065355,1.3267441425331,3.48625607877401,3.01472003266517,2.05845166615195,0.0632741838922269,0.192282577675535,-4.79361446270995
TETJ,TreatmentCONV...TreatmentRWA,3.78925145137957,2.49185496534918,5.08664793740996,2.91571653770985,2.54117876193543,0.0316151989019335,0.110653196156767,-3.92313555833133
ACRF,TreatmentCONV...TreatmentRWA,1.35777062676563,1.19247359573813,1.52306765779313,2.77238307425389,1.15273610915168,0.270564987823615,0.553617590469859,-6.07246988130228
sme,TreatmentCONV...TreatmentRWA,-1.34891414238151,-3.03204608586531,0.334217801102284,2.67442692420615,-1.51501203661728,0.157231489185807,0.366873474766884,-5.71033781380093
AAC3,TreatmentCONV...TreatmentRWA,3.57636499253312,0.733464651717559,6.41926533334868,2.58276546649574,4.55718228593958,0.000447213617624472,0.00424852936743249,0.00711134875531894
rosB,TreatmentCONV...TreatmentRWA,5.40564189789336,2.64987281285759,8.16141098292913,2.56953716170321,4.35905191451903,0.00162401032779042,0.011368072294533,-0.981116003399527
TOLC,TreatmentCONV...TreatmentRWA,1.9197207330745,0.512771584918594,3.32666988123041,2.44626652567769,1.90817412839853,0.0830255834237236,0.224393830991869,-5.04567630716739
EMRB,TreatmentCONV...TreatmentRWA,2.6794861551682,0.61616393319266,4.74280837714373,2.09589321454729,2.0819162534102,0.0675935664428257,0.195014884345154,-4.64673145337481
CPXA,TreatmentCONV...TreatmentRWA,-1.99857755203101,-3.37113631869604,-0.626018785365987,2.07374178699087,-1.50387315151207,0.168853299088811,0.372073998729892,-5.49278435008219
MEXF,TreatmentCONV...TreatmentRWA,2.39100979392751,1.1636643523094,3.61835523554562,1.93133995622098,3.19608552252816,0.0111396654981049,0.0510888107326882,-2.9267988522556
ACT,TreatmentCONV...TreatmentRWA,-1.09142354441517,-2.72598775305982,0.543140664229473,1.90731141182437,-1.61029666074128,0.155481255782205,0.366873474766884,-5.36803227043888
ACRD,TreatmentCONV...TreatmentRWA,0.834595888551629,0.433408697679577,1.23578307942368,1.90590342155049,1.50295566255493,0.169023128271409,0.372073998729892,-5.44875731982628
EVGS,TreatmentCONV...TreatmentRWA,2.3023693079329,-0.731468286300879,5.33620690216668,1.80101319066481,3.99639958034486,0.00988473157850113,0.0491682857398823,-2.33123644833586
CAT,TreatmentCONV...TreatmentRWA,-2.68517383681845,-2.70932152478927,-2.66102614884762,1.73320374800336,-3.56520728611757,0.0103512180505015,0.0491682857398823,-2.62381272830972
Y56,TreatmentCONV...TreatmentRWA,5.36173631851202,5.22309816415476,5.50037447286927,1.6063898946392,17.8953669641976,9.15562216479789e-07,0.000121769774791812,5.52442534679412
HNS,TreatmentCONV...TreatmentRWA,1.68408884696135,0.561652088332821,2.80652560558988,1.58489823114617,1.58187404293822,0.15550323765039,0.366873474766884,-5.37478248804334
EREA,TreatmentCONV...TreatmentRWA,2.02925402061229,1.86381353928924,2.19469450193535,1.52203338146293,3.69966611291167,0.00767956270294447,0.0432783662356163,-2.35698999484682
BAER,TreatmentCONV...TreatmentRWA,2.3527146618335,-163.12280730913,167.828236632797,1.51197022370699,1.97466063530892,0.08435858307965,0.224393830991869,-4.75132258257848
CARB,TreatmentCONV...TreatmentRWA,-2.72156517940503,-5.64080319318295,0.197672834372892,1.39445129046738,-3.94897355923474,0.0171533818387425,0.0735935414371854,-2.72652248238137
TETB,TreatmentCONV...TreatmentRWA,-0.846523413706441,-2.76742996761268,1.0743831401998,1.32389949820526,-1.10564044488214,0.316569257168995,0.619172223580534,-5.83331684324583
rosA,TreatmentCONV...TreatmentRWA,5.37679727260812,4.10947211307836,6.64412243213788,1.28817792312697,13.130649255276,0.000526186110020602,0.00464313838347746,0.226776252160724
SULII,TreatmentCONV...TreatmentRWA,-0.366930448249305,-2.65133470428749,1.91747380778888,1.25958898488567,-3.87733347171541,0.0526230740864411,0.170704118377967,-3.39423834298186
BAES,TreatmentCONV...TreatmentRWA,0.23540537620576,-2.8648122733372,3.33562302574872,1.22636980515986,4.43319883401709,0.00745540035465163,0.0432783662356163,-1.99225511043169
ACRA,TreatmentCONV...TreatmentRWA,-0.898899397210388,-3.46256417853296,1.66476538411219,1.22118558955309,-0.95188519401895,0.380284051855064,0.722539698524621,-6.05077911360643
MEXK,TreatmentCONV...TreatmentRWA,2.2486121790644,2.19794806884856,2.29927628928024,1.14679859076197,2.37302869197257,0.0568224353909212,0.17993771207125,-4.27462317501553
OXA,TreatmentCONV...TreatmentRWA,1.00624534728323,0.947467884590407,1.06502280997605,1.131678790638,1.30870822870613,0.249852042575728,0.519223775977685,-5.65627256658541
EMRA,TreatmentCONV...TreatmentRWA,2.44334769944557,2.41670707039285,2.46998832849829,1.09693196592844,5.06354520385942,0.00968112775049652,0.0491682857398823,-2.00033563126632
