Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillales,TreatmentCONV...TreatmentRWA,-0.816804258748661,-2.11958366224617,0.485975144748844,15.8469673412631,-1.23754360787043,0.217571414106958,0.91720622898819,-5.66486912740821
Pseudomonadales,TreatmentCONV...TreatmentRWA,-1.36353063343299,-4.77189510778444,2.04483384091846,10.1697941803049,-2.06589106443402,0.0403375944386922,0.329729340224223,-4.33293737719064
Bacillales,TreatmentCONV...TreatmentRWA,-1.18967900996556,-2.89959975285319,0.520241732922079,8.4557038082314,-1.802487729993,0.0732187927212459,0.435763247918187,-4.8289057329832
Xanthomonadales,TreatmentCONV...TreatmentRWA,0.861300458146257,-0.441478945351248,2.16407986164376,7.59378353461752,1.30495998890569,0.193648931459965,0.873120572624704,-5.58143749955088
Rhizobiales,TreatmentCONV...TreatmentRWA,1.34857441285596,-964.263609071968,966.96075789768,7.4274897380238,2.04323083100018,0.0425546481338636,0.329729340224223,-4.37826021658789
Sphingomonadales,TreatmentCONV...TreatmentRWA,1.25185345290902,-0.092917197050119,2.59662410286816,5.78994779931751,1.83668909738472,0.0679811201309765,0.435763247918187,-4.73994189985493
Acidobacteriales,TreatmentCONV...TreatmentRWA,2.2590648047382,0.164053386956517,4.35407622251989,5.48426402784397,3.16027912791845,0.00186261495489342,0.0287988927641213,-1.49370491679669
Bacteroidales,TreatmentCONV...TreatmentRWA,-0.930343385913034,-2.23312278941054,0.372436017584471,5.15394203288517,-1.40956722253756,0.160472337954945,0.750114882068465,-5.44322108508735
[Chthoniobacterales],TreatmentCONV...TreatmentRWA,5.45107174868497,4.10527037245072,6.79687312491922,4.42679361698864,5.26322867854518,4.17473124965245e-07,8.39120981180142e-05,7.00176935899745
Gaiellales,TreatmentCONV...TreatmentRWA,4.2526910143648,2.51275967419066,5.99262235453894,3.96796341592273,4.90909289728837,2.11291995241919e-06,0.000141565636812086,5.36187931081772
Nitrosomonadales,TreatmentCONV...TreatmentRWA,3.98004906121812,1.82513326646269,6.13496485597354,3.5735869323984,4.58803959616943,8.59070001700284e-06,0.000431682675854393,3.90571248557543
[Saprospirales],TreatmentCONV...TreatmentRWA,2.0312548539165,0.728475450418998,3.33403425741401,3.52392176549081,2.41495478632393,0.0167846230994294,0.177563644367648,-3.38354900397313
iii1-15,TreatmentCONV...TreatmentRWA,4.65530572036882,3.24433939651503,6.06627204422262,3.44510985360274,4.43282713106675,1.65230146537446e-05,0.000664225189080531,3.22563131530327
SC-I-84,TreatmentCONV...TreatmentRWA,1.54480531750053,-0.662163320695196,3.75177395569626,3.31141863104726,2.00508900878823,0.0465211399741252,0.346324042029599,-4.32213544750501
N1423WL,TreatmentCONV...TreatmentRWA,4.23260312820319,2.92982372470568,5.53538253170069,3.29921467385494,4.10140177046368,6.32423688664278e-05,0.00211861935702533,1.90369929051771
Bifidobacteriales,TreatmentCONV...TreatmentRWA,-1.37380903018113,-4.01277430507067,1.26515624470841,3.24382983036204,-1.58712844924254,0.114319475946775,0.589184991417994,-4.9454888639166
Pasteurellales,TreatmentCONV...TreatmentRWA,-3.902698938934,-5.20547834243151,-2.5999195354365,3.18260485749297,-4.91815915256765,2.02893986371352e-06,0.000141565636812086,5.4042163273773
Rhodobacterales,TreatmentCONV...TreatmentRWA,-1.30931096835687,-3.0575243619557,0.438902425241962,2.95944466911401,-1.5968676441316,0.112130087031495,0.589184991417994,-4.9769548513052
RB41,TreatmentCONV...TreatmentRWA,4.58254114359503,2.52952260079216,6.63555968639791,2.79070096847578,4.05923155007091,7.46130448193988e-05,0.00214246028695702,1.73238136397557
Caulobacterales,TreatmentCONV...TreatmentRWA,4.07727548297254,2.77449607947503,5.38005488647004,2.74649052351759,3.73176190110082,0.000258067913994836,0.00648395633912025,0.550742554049643
[Pedosphaerales],TreatmentCONV...TreatmentRWA,3.09965207504084,0.795491299202461,5.40381285087922,2.32740440045566,2.94089843710378,0.00372311071073668,0.0507562113554021,-1.91871296282109
Legionellales,TreatmentCONV...TreatmentRWA,2.41681803519788,1.11403863170037,3.71959743869538,2.10707858573125,2.31708033417747,0.0216772807675301,0.207482544489216,-3.4586421146826
Desulfovibrionales,TreatmentCONV...TreatmentRWA,1.56237832276151,-0.630447665059074,3.7552043105821,2.10308733254832,1.6946475363536,0.091951341173592,0.526897330595976,-4.72507933632614
Ellin329,TreatmentCONV...TreatmentRWA,3.69347113933032,2.39069173583282,4.99625054282783,2.04802724008575,3.55103734480915,0.000495077513477462,0.01105673113433,-0.0691727237466964
Sphingobacteriales,TreatmentCONV...TreatmentRWA,1.74677039336366,0.443990989866158,3.04954979686117,1.94065933612945,1.56225909727965,0.120064271367755,0.603322963622969,-4.77550808687049
0319-7L14,TreatmentCONV...TreatmentRWA,3.74788435149823,1.44309969098888,6.05266901200758,1.87006631553785,3.42619282132463,0.000765555515930712,0.0153876658702073,-0.466748446408874
Verrucomicrobiales,TreatmentCONV...TreatmentRWA,-1.83754562768134,-4.0658573719399,0.390766116577208,1.86001258263072,-2.04226353815293,0.0426515564469144,0.329729340224223,-4.12673782449059
Ellin6067,TreatmentCONV...TreatmentRWA,3.52968856176524,2.18435106991257,4.87502605361791,1.85311814971185,3.32929969309969,0.00106509231321175,0.0185232940832616,-0.778573419681464
Flavobacteriales,TreatmentCONV...TreatmentRWA,-3.87446739480872,-5.86735868787687,-1.88157610174057,1.81124718173637,-3.31814190203916,0.00110586830347831,0.0185232940832616,-0.794540303912958
