"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Bacteria",25680.4337426248,29722.5186766277,229859.764089122,20561.543172076,259575.07082153,199862.595419848,231387.291981846,169433.576642336,218472.878998609,79108.4120557804,179622.176591376,58496.4503042597,129993.050729673,63592.749032031,314776.649746193,146530.221882173
"Archaea",101.738159783129,231.768054073284,9.17431192660552,11.6350275566442,4.24929178470256,0,0,2.91970802919708,0,0.899685110211426,0,2.02839756592292,0,0,0,4.59066564651875
"Unassigned",0.478392600861107,0.355745286374956,20.9698558322412,3.26597264747908,42.4929178470256,0,0,16.058394160584,4.17246175243394,1.79937022042285,0,42.0892494929006,0,0,101.522842639594,0
