"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Sinobacteraceae",29.3414128528145,33.6179295624333,53.735255570118,245.764441722801,25.4957507082153,45.8015267175573,55.9757942511347,81.7518248175184,161.335187760779,129.10481331534,213.552361396304,109.026369168357,79.2216817234191,44.350580781415,21.9966159052454,24.4835501147667
"Micromonosporaceae",89.459416361027,118.46318036286,5.24246395806029,63.686466625842,18.4135977337111,0,0,5.83941605839417,0,41.8353576248313,47.2279260780289,21.2981744421907,0,34.8468848996832,0,0
"Isosphaeraceae",58.5233615053421,107.257203842049,0,0,0,0,0,0,0,4.04858299595142,0,0,0,5.63181978176698,0,0
"Caulobacteraceae",50.8690798915643,68.3030949839915,0,32.0473566033884,0,0,0,0,0,31.0391363022942,0,22.8194726166329,28.4920083391244,54.2062653995072,13.5363790186125,6.88599846977812
"Lachnospiraceae",57.4071121033328,43.2230522945571,138.925294888598,170.851194121249,77.9036827195469,61.0687022900764,42.3600605143722,75.9124087591242,54.2420027816412,29.2397660818714,43.1211498973307,304.766734279919,141.070187630299,41.1826821541711,641.285956006769,253.251721499618
"Conexibacteraceae",23.1223090416202,15.652792600498,0,8.1649316186977,0,0,0,0,0,5.39811066126856,0,32.4543610547667,82.6963168867269,42.2386483632524,106.598984771574,0
"Syntrophobacteraceae",39.0687290703237,33.9736748488083,19.6592398427261,45.1112471933048,15.5807365439094,10.1781170483461,18.1543116490167,14.5985401459854,0,37.3369320737742,14.3737166324436,9.63488843813388,16.6782487838777,34.8468848996832,8.46023688663284,6.88599846977812
"[Mogibacteriaceae]",2.71089140487961,0,0,3.06184935701164,0,0,0,0,0,4.49842555105713,0,6.08519269776876,0,0,0,6.12088752869166
"Frankiaceae",9.56785201722214,15.4749199573106,0,0,0,0,0,0,0,0,0,19.2697768762678,12.5086865879083,20.4153467089053,0,0
"[Marinicellaceae]",0,0,0,5.71545213308839,0,0,0,0,0,0,0,0,0,0,0,0
"OPB35",0.956785201722213,0,0,1.02061645233721,0,0,0,0,0,2.24921277552857,0,0,0,0,0,0
"Erysipelotrichaceae",3.50821240631478,0.889363215937389,3.93184796854522,22.2494386609512,11.3314447592068,10.1781170483461,21.1800302571861,11.6788321167883,0,10.3463787674314,14.3737166324436,14.1987829614605,5.55941626129257,2.11193241816262,0,10.7115531752104
"Pseudonocardiaceae",33.3280178599904,54.7847741017432,0,18.1669728516024,0,0,0,10.2189781021898,0,12.1457489878543,0,8.62068965517242,0,13.3755719816966,0,23.7184391736802
"Pseudomonadaceae",342.050709615691,348.630380647456,1693.31585845348,621.963666054297,1423.51274787536,2409.66921119593,1319.21331316188,8874.45255474454,567.454798331016,597.390913180387,2759.75359342916,782.961460446248,232.800555941626,190.073917634636,1576.98815566836,3669.47207345065
"Cytophagaceae",8.13267421463881,13.6961935254358,15.7273918741809,42.2535211267606,7.08215297450426,6.36132315521629,0,10.2189781021898,8.34492350486788,20.2429149797571,14.3737166324436,19.2697768762678,0,5.98380851812742,0,6.88599846977812
"Paenibacillaceae",14.0328496252591,13.8740661686233,0,36.9463155746071,11.3314447592068,0,0,0,0,9.89653621232569,4.10677618069816,6.5922920892495,9.03405142460042,14.7835269271383,0,13.0068859984698
"Acetobacteraceae",45.6067612820922,48.5592315901814,0,22.8618085323535,7.08215297450426,6.36132315521629,0,8.75912408759126,4.17246175243394,19.3432298695457,0,55.7809330628803,40.3057678943711,62.6539950721577,52.4534686971236,0
"Coxiellaceae",23.9196300430553,9.24937744574884,0,12.451520718514,0,6.36132315521629,0,0,0,33.2883490778228,0,23.3265720081136,0,30.2710313269975,0,3.06044376434583
"SAGMA-X",0,0,3.93184796854522,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobiaceae",94.7217349704991,108.680184987549,0,49.1937130026536,0,11.4503816793893,24.2057488653556,30.6569343065694,30.5980528511822,62.0782726045884,0,58.316430020284,152.189020152884,120.028159098909,65.9898477157362,28.309104820199
"Gemmataceae",25.9926646467868,20.099608680185,0,7.34843845682793,0,0,0,11.6788321167883,0,1.34952766531714,0,1.52129817444219,5.55941626129257,2.81590989088349,3.38409475465314,0
"Enterococcaceae",2.39196300430553,0,24.9017038007864,38.5793018983466,130.311614730878,0,0,116.788321167883,550.76495132128,116.959064327485,363.449691991787,474.137931034483,1546.212647672,328.405491024287,1189.50930626058,0
"S24-7",5.74071121033328,3.2017075773746,20.9698558322412,139.620330679731,4.24929178470256,2.54452926208652,0,17.5182481751825,11.1265646731572,4.94826810616285,0,9.12778904665315,0,0,0,397.092578423872
"Ellin517",15.9464200287036,8.36001422981146,11.7955439056357,4.49071239028373,0,0,0,0,0,13.4952766531714,0,3.04259634888438,0,10.5596620908131,0,0
"Rhodobacteraceae",6.85696061234253,4.26894343649947,6.55307994757537,19.7999591753419,15.5807365439094,21.6284987277354,0,21.8978102189781,0,4.49842555105713,0,6.5922920892495,0,9.85568461809222,0,0
"Solirubrobacteraceae",66.6560357199809,60.1209533973675,30.1441677588467,21.6370687895489,5.66572237960341,0,0,33.5766423357665,0,40.0359874044085,0,9.12778904665315,0,35.1988736360437,0,0
"Leuconostocaceae",513.634189124542,1312.16648879402,13774.5740498034,652.173913043478,9177.05382436262,2627.22646310433,14962.1785173979,3547.44525547446,2951.32127955494,247.863247863248,4260.78028747434,302.738336713996,14941.6261292564,351.988736360437,12895.0930626058,159.90818668707
"Streptomycetaceae",23.9196300430553,27.0366417644966,23.5910878112713,20.2082057562768,0,0,0,13.1386861313869,0,2.24921277552857,0,14.7058823529412,0,23.2312565997888,0,0
"5B-12",1.59464200287036,2.66808964781217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parachlamydiaceae",0,1.06723585912487,3.93184796854522,0,0,0,0,0,0,0,0,0,3.47463516330786,0,0,0
"Streptococcaceae",4626.85377132834,10194.7705442903,152408.912188729,5200.44907123903,76842.7762039661,16395.6743002545,40827.5340393344,32744.5255474453,28354.6592489569,20947.3684210526,83897.3305954827,4277.89046653144,21753.9958304378,4797.60647659275,27260.5752961083,68869.9311400154
"Rikenellaceae",0,1.95659907506226,0,7.34843845682793,5.66572237960341,7.63358778625955,4.53857791225417,8.75912408759126,0,0,0,3.04259634888438,0,0.703977472720873,0,23.7184391736802
"Staphylococcaceae",19.1357040344443,5.15830665243686,14.4167758846658,17.1463563992652,124.645892351275,118.320610687023,114.977307110439,112.408759124088,16.6898470097358,40.0359874044085,0,31.4401622718053,18.7630298818624,24.991200281591,43.9932318104908,87.9877582249427
"Gracilibacteraceae",0,1.42298114549982,0,6.32782200449071,0,0,0,0,0,0,0,0,0,0,0,0
"Geodermatophilaceae",55.6530059001754,49.2707221629313,19.6592398427261,21.4329454990814,0,0,16.6414523449319,0,0,36.8870895186685,0,35.4969574036511,24.322446143155,46.4625131995776,0,9.94644223412396
"Erythrobacteraceae",6.69749641205549,12.6289576663109,10.4849279161206,14.0845070422535,0,0,0,13.1386861313869,0,9.89653621232569,0,6.5922920892495,0,6.33579725448786,0,12.2417750573833
"Ellin5301",32.6901610588423,36.8196371398079,0,7.96080832823025,0,0,0,0,0,5.84795321637427,0,0,0,3.16789862724393,0,10.7115531752104
"Enterobacteriaceae",393.717110508691,243.151903237282,2359.10878112713,690.957338232292,2208.21529745043,2506.36132315522,1594.5537065053,2960.58394160584,1222.53129346314,3488.97885739991,3008.2135523614,2984.78701825558,927.727588603197,958.465329109469,9184.43316412861,17684.7742922724
"Alteromonadaceae",0,0.533617929562433,3.93184796854522,8.1649316186977,0,0,0,5.83941605839417,0,0,0,4.05679513184584,0,0,0,0
"Rhodocyclaceae",1.43517780258332,0,0,11.8391508471117,0,0,0,0,0,0,18.4804928131417,6.5922920892495,0,0,0,4.59066564651875
"RB40",0,0,0,4.89895897121862,0,0,0,0,0,0,0,0,0,4.57585357268568,0,0
"Aurantimonadaceae",0.797321001435178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhizobiaceae",10.2057088183703,11.5617218071861,0,23.065931822821,0,0,0,0,0,10.7962213225371,0,7.60649087221096,0,9.50369588173179,0,35.9602142310635
"Chthonomonadaceae",5.10285440918514,1.42298114549982,0,0,0,0,0,0,0,0,0,0,4.864489228631,2.11193241816262,0,0
"Xanthobacteraceae",4.62446180832403,5.86979722518677,0,0,0,0,0,0,0,6.29779577147998,0,0,0,10.2076733544527,0,0
"Phyllobacteriaceae",24.8764152447776,20.8110992529349,47.1821756225427,67.7689324351909,89.2351274787537,0,40.8472012102875,43.7956204379563,76.4951321279556,29.2397660818714,57.4948665297743,8.62068965517242,0,18.3034142907427,0,22.9533282325937
"Verrucomicrobiaceae",3.98660500717589,2.84596229099964,6.55307994757537,54.5009185548071,0,7.63358778625955,0,23.3576642335767,4.17246175243394,0,0,9.63488843813388,0,1.40795494544175,0,3.06044376434583
"Christensenellaceae",3.02981980545368,0.711490572749911,0,1.63298632373954,0,0,0,29.1970802919708,0,1.79937022042285,0,2.53549695740365,0,2.11193241816262,0,4.59066564651875
"Micrococcaceae",93.1270929676288,112.949128424048,39.3184796854522,51.4390691977955,62.3229461756375,49.6183206106871,28.7443267776097,49.6350364963504,26.4255910987483,81.8713450292398,51.334702258727,42.0892494929006,0,58.7821189721929,15.2284263959391,53.5577658760521
"TSCOR003-O20",0,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0,0,0
"Nannocystaceae",4.78392600861107,0.889363215937389,0,15.1051234945907,0,0,0,0,0,8.54700854700855,0,0,0,4.92784230904611,0,0
"[Chromatiaceae]",2.2324988040185,1.06723585912487,0,0,0,0,0,0,0,4.04858299595142,0,1.52129817444219,0,0,0,0
"Opitutaceae",2.71089140487961,0,3.93184796854522,4.49071239028373,0,0,0,0,0,0,0,5.0709939148073,0,0,0,6.12088752869166
"Rhodothermaceae",0.797321001435178,0.711490572749911,0,1.22473974280465,0,0,0,4.37956204379563,0,0,0,0,0,0,0,0
"Peptostreptococcaceae",5.26231860947217,6.93703308431163,7.86369593709044,23.6783016942233,38.243626062323,25.4452926208652,40.8472012102875,35.036496350365,27.8164116828929,22.4921277552857,16.4271047227926,37.5253549695741,35.4412786657401,13.3755719816966,86.294416243655,15.3022188217292
"Beijerinckiaceae",12.5976718226758,27.926004980434,0,3.26597264747908,0,0,0,0,0,3.59874044084571,0,7.60649087221096,29.8818624044476,18.6554030271031,11.844331641286,0
"Corynebacteriaceae",4.9433902088981,0,10.4849279161206,4.69483568075117,21.2464589235128,0,0,7.29927007299271,0,11.2460638776428,0,9.63488843813388,5.55941626129257,6.33579725448786,0,58.9135424636573
"C111",1.75410620315739,1.95659907506226,0,3.87834251888141,0,0,9.07715582450833,0,0,0,0,4.56389452332657,0,2.11193241816262,0,0
"Porphyromonadaceae",1.59464200287036,0,0,11.8391508471117,0,0,0,0,0,3.59874044084571,0,7.09939148073023,0,0,0,7.65110941086458
"Armatimonadaceae",2.71089140487961,1.42298114549982,0,0,0,0,0,0,0,0,0,1.52129817444219,0,0,0,0
"Bacteroidaceae",2.2324988040185,3.91319815012451,9.17431192660552,85.7317819963258,26.9121813031162,11.4503816793893,12.1028744326778,24.8175182481752,0,2.24921277552857,12.3203285420945,21.2981744421907,8.33912439193885,1.40795494544175,0,9.1813312930375
"JTB36",0,0,0,1.4288630332721,0,0,0,0,0,0,4.10677618069816,0,0,0,0,0
"Lactobacillaceae",8886.62095359592,5724.11953041622,26370.9043250328,3000.6123698714,90781.8696883854,99595.4198473284,111291.981845689,74143.0656934308,46324.0611961058,24191.632928475,38098.5626283368,8388.43813387424,53132.0361362057,13063.3579725449,23891.7089678511,22741.3925019128
"Pseudoalteromonadaceae",4.464997608037,0,0,7.14431516636048,0,58.5241730279899,0,5.83941605839417,0,0,112.936344969199,0,0,0,0,0
"Succinivibrionaceae",0,0,0,0.612369871402327,0,0,0,7.29927007299271,4.17246175243394,0,0,36.0040567951319,12.5086865879083,14.7835269271383,21.9966159052454,3.82555470543229
"Symbiobacteriaceae",1.59464200287036,0.889363215937389,0,8.36905490916514,4.24929178470256,0,0,0,0,4.04858299595142,0,0,2.77970813064628,1.05596620908131,0,0
"FFCH4570",18.019454632435,22.5898256848097,0,3.8783425188814,0,0,0,0,0,9.44669365721998,0,8.11359026369169,16.6782487838777,18.3034142907427,0,0
"Dolo_23",6.69749641205549,4.98043400924938,0,6.12369871402327,0,0,0,0,2.78164116828929,0,8.21355236139632,0,0,0,0,0
"Koribacteraceae",55.3340774996013,34.1515474919957,26.2123197903015,45.3153704837722,0,12.7226463104326,13.6157337367625,11.6788321167883,0,22.4921277552857,20.5338809034908,61.8661257606491,64.6282140375261,71.8057022175291,16.9204737732657,16.8324407039021
"Dehalobacteriaceae",0,0,0,1.22473974280465,0,0,0,10.2189781021898,0,0,0,0,0,0,0,14.5371078806427
"Nocardioidaceae",65.8587147185457,76.307363927428,22.2804718217563,28.1690140845071,0,0,0,0,0,47.6833108412056,0,23.8336713995943,0,49.2784230904611,0,29.8393267023719
"oc28",0,2.13447171824973,0,0,0,0,0,8.75912408759126,0,1.34952766531714,0,0,0,0.703977472720873,0,2.29533282325937
"Intrasporangiaceae",32.5306968585553,46.7805051583067,14.4167758846658,14.9010002041233,0,0,0,0,0,23.3918128654971,0,3.04259634888438,0,19.7113692361844,0,27.5439938791125
"RF16",0,0,0,0,2.8328611898017,0,0,0,0,0,0,0,0,0,0,0
"Geobacteraceae",2.71089140487961,0,0,19.1875893039396,11.3314447592068,5.08905852417304,0,11.6788321167883,0,0,0,0,3.47463516330786,0,0,0
"Coriobacteriaceae",0,0,0,3.67421922841396,8.49858356940511,11.4503816793893,19.6671709531014,11.6788321167883,0,0.899685110211426,0,69.9797160243408,0,0,0,12.2417750573833
"[Methanomassiliicoccaceae]",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriaceae",0,0,0,2.44947948560931,0,0,0,27.7372262773723,0,0,0,1.01419878296146,0,0,0,0
"Chromatiaceae",0,0,0,18.5752194325373,0,0,0,0,19.4714881780251,11.6959064327485,30.8008213552362,8.62068965517242,0,0,0,0
"Holophagaceae",1.59464200287036,0,0,2.85772606654419,0,0,0,0,0,2.69905533063428,0,3.04259634888438,0,2.81590989088349,0,0
"Alcaligenaceae",12.2787434221017,6.4034151547492,19.6592398427261,72.6678914064095,8.49858356940511,7.63358778625955,0,20.4379562043796,0,13.4952766531714,0,20.7910750507099,2.77970813064628,4.57585357268568,0,44.3764345830146
"Prevotellaceae",0.797321001435178,0,10.4849279161206,20.8205756276791,33.9943342776204,0,6.05143721633889,43.7956204379563,0,0,0,108.519269776876,0,2.11193241816262,16.9204737732657,6.12088752869166
"Aeromonadaceae",11.1624940200925,6.22554251156172,52.4246395806029,20.2082057562768,0,26.7175572519084,25.7186081694403,40.8759124087592,0,54.880791722897,55.4414784394252,12.6774847870183,0,15.8394931362196,0,108.645753634277
"HTCC2089",0,0,0,0,0,7.63358778625955,0,0,0,0,0,6.08519269776876,0,0,0,0
"Rickettsiaceae",0,0.889363215937389,0,1.02061645233721,0,0,0,0,0,0,0,1.52129817444219,1.38985406532314,0,0,3.82555470543229
"Vibrionaceae",285.600382714081,191.924581999289,395.806028833552,111.043070014289,2335.6940509915,2215.01272264631,6151.28593040848,8401.45985401461,108461.752433936,4480.4318488529,14478.4394250514,1911.76470588235,2521.89020152884,31318.1978176698,215174.280879865,34.4299923488906
"Desulfovibrionaceae",2.2324988040185,2.66808964781217,7.86369593709044,34.9050826699326,0,0,0,7.29927007299271,6.95410292072324,3.14889788573999,4.10677618069816,6.08519269776877,4.16956219596943,1.05596620908131,0,32.8997704667177
"Iamiaceae",0,0,0,5.71545213308839,0,0,0,0,0,0,0,0,0,0,0,0
"Legionellaceae",2.87035560516664,1.77872643187478,0,1.4288630332721,0,0,0,0,0,0,0,0,0,2.81590989088349,0,0
"Aminiphilaceae",0.478392600861107,0,0,0,0,0,0,0,0,0,0,0,0,1.05596620908131,0,0
"D2",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,0
"RFP12",0,0,0,0,0,0,0,0,0,1.34952766531714,0,1.52129817444219,0,0,0,0
"Kineosporiaceae",17.2221336309998,28.1038776236215,0,5.91957542355583,0,0,0,0,0,0,0,0,0,19.359380499824,0,0
"Alicyclobacillaceae",18.8167756338702,16.1864105300605,6.55307994757537,6.53194529495816,0,0,0,0,0,19.7930724246514,0,4.05679513184584,2.08478109798471,15.8394931362196,0,0
"Thermomonosporaceae",7.81374581406474,5.86979722518677,0,7.75668503776281,0,0,0,0,0,5.39811066126856,0,10.1419878296146,16.6782487838777,15.8394931362196,0,0
"Hydrogenophilaceae",0,0,5.24246395806029,4.49071239028373,0,0,0,0,0,0,0,5.57809330628803,0,0,0,0
"Nitrosomonadaceae",62.669430712805,59.0537175382426,40.6290956749673,94.9173300673607,15.5807365439094,0,0,0,68.1502086230877,112.910481331534,90.3490759753595,14.7058823529412,0,55.9662090813094,0,0
"[Tissierellaceae]",5.42178280975921,0.533617929562433,3.93184796854522,15.5133700755256,7.08215297450426,0,0,7.29927007299271,0,2.69905533063428,0,4.05679513184584,0,2.46392115452306,0,19.8928844682479
"Caldicoprobacteraceae",0,0,0,2.44947948560931,0,0,0,0,0,0,0,8.11359026369169,0,0,0,0
"EB1003",7.01642481262957,5.86979722518677,0,0,0,0,0,10.2189781021898,0,8.99685110211426,0,8.62068965517242,21.5427380125087,14.0795494544175,0,0
"Desulfobulbaceae",0,0.533617929562433,15.7273918741809,2.85772606654419,7.08215297450426,0,0,11.6788321167883,0,0,10.2669404517454,5.07099391480731,0,1.40795494544175,0,0
"Myxococcaceae",7.49481741349067,1.06723585912487,0,6.53194529495816,2.8328611898017,0,0,0,0,3.14889788573999,0,6.5922920892495,0,4.57585357268568,10.1522842639594,0
"Bdellovibrionaceae",1.27571360229628,0.533617929562433,0,3.8783425188814,0,0,0,0,0,0,0,0,0,0,0,2.29533282325937
"[Fimbriimonadaceae]",2.55142720459257,6.75916044112416,0,5.51132884262094,0,0,0,5.83941605839417,0,4.49842555105713,0,0,0,2.11193241816262,0,0
"Methylocystaceae",0,1.77872643187478,14.4167758846658,2.44947948560931,0,0,0,8.75912408759126,0,0,0,12.1703853955375,64.6282140375261,22.1752903907075,10.1522842639594,0
"Crenotrichaceae",1.59464200287036,0,0,2.65360277607675,0,0,0,0,0,2.69905533063428,0,0,0,1.40795494544175,0,0
"Halomonadaceae",0.478392600861107,0,0,2.65360277607675,18.4135977337111,0,21.1800302571861,45.2554744525548,15.2990264255911,3.14889788573999,0,0,0,0,11.844331641286,0
