"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Lysobacter",1.11624940200925,0,13.1061598951507,77.5668503776281,0,36.8956743002545,0,0,84.8400556328235,36.4372469635628,117.043121149898,8.62068965517242,0,0,0,16.0673297628156
"Clostridium",25.8332004464998,15.2970473141231,18.348623853211,118.187385180649,365.43909348442,174.300254452926,313.161875945538,218.978102189781,420.027816411683,250.562303193882,486.652977412732,3386.40973630832,2244.61431549687,699.401619148187,1605.75296108291,88.7528691660291
"Oxalobacter",0.637856801148142,0,0,3.67421922841396,0,0,0,0,0,0,0,0,0,0,0,0
"Ruegeria",0,0,0,2.44947948560931,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmata",2.2324988040185,4.62468872287442,0,2.85772606654419,0,0,0,0,0,0,0,0,0,0,3.38409475465314,0
"Weissella",6.69749641205549,1.06723585912487,11.7955439056357,11.0226576852419,232.29461756374,26.7175572519084,93.7972768532528,8.75912408759126,214.186369958276,57.5798470535313,176.591375770021,171.399594320487,956.219596942322,165.082717353045,614.213197969544,9.94644223412396
"Caulobacter",0,2.66808964781217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amycolatopsis",0,9.78299537531128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgisporangium",1.59464200287036,13.6961935254358,0,2.85772606654419,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces",22.1655238398979,22.5898256848097,23.5910878112713,20.2082057562768,0,0,0,13.1386861313869,0,0,0,0,0,10.5596620908131,0,0
"Ellin506",19.4546324350183,24.5464247598719,0,2.24535619514187,0,0,0,0,0,15.2946468735942,0,0,0,4.57585357268568,0,0
"Lactococcus",4622.70770212088,10190.3237282106,152391.874180865,5182.07797509696,76205.3824362607,16021.6284987278,40208.7745839638,32337.2262773723,28319.8887343533,20937.4718848403,83872.6899383985,3258.62068965517,21668.5198054204,4781.06300598381,27089.6785109984,68837.0313695486
"Oscillospira",5.74071121033328,2.31234436143721,0,27.9648907940396,5.66572237960341,0,0,8.75912408759126,0,0,8.21355236139632,8.11359026369169,15.9833217512161,4.92784230904611,0,18.362662586075
"Rikenella",0,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0,0,0
