"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrospirales",44.4905118800829,66.5243685521167,23.5910878112713,35.1092059604001,7.08215297450426,0,0,17.5182481751825,0,26.5407107512371,0,6.5922920892495,4.16956219596943,13.727560718057,0,23.7184391736802
"Alteromonadales",2.2324988040185,1.6008537886873,3.93184796854522,17.5546029802,0,0,0,33.5766423357665,0,4.04858299595142,0,7.60649087221096,0,0,0,22.9533282325937
"CFB-26",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,1.53022188217292
"Gaiellales",324.35018338383,375.489149768766,94.3643512450853,66.3400694019188,0,2.54452926208652,0,0,0,134.952766531714,0,22.8194726166329,52.8144544822794,178.810278071102,13.5363790186125,9.1813312930375
"Actinomycetales",585.393079253708,683.564567769477,152.031454783749,326.39314145744,164.305949008499,96.6921119592877,90.7715582450834,127.007299270073,26.4255910987483,355.375618533513,104.722792607803,440.162271805274,113.968033356498,446.321717705034,40.6091370558376,246.36572302984
"Acidobacteriales",160.899378089619,136.428317324795,34.0760157273919,89.6101245152072,7.08215297450426,12.7226463104326,28.7443267776097,11.6788321167883,0,79.1722896986055,20.5338809034908,132.352941176471,252.953439888812,250.615980288631,116.751269035533,49.7322111706198
"Rhizobiales",368.202838462765,461.93525435788,140.235910878113,363.747703612982,124.645892351275,29.262086513995,65.0529500756431,99.2700729927009,126.564673157163,261.358524516419,84.1889117043123,227.180527383367,487.143849895761,430.482224568814,121.827411167513,158.377964804897
"Bacillales",246.212725243183,262.006403415155,656.618610747052,320.677689324352,436.260623229462,2160.30534351145,322.239031770046,567.883211678833,189.151599443672,251.012145748988,459.958932238194,376.267748478702,179.986101459347,203.801478352693,162.436548223351,440.7039020658
"Pirellulales",7.33535321320364,2.84596229099964,0,3.47009593794652,0,0,0,4.37956204379563,0,2.24921277552857,0,0,0,0,5.0761421319797,8.41622035195104
"Xanthomonadales",242.385584436294,260.22767698328,183.48623853211,537.048377219841,124.645892351275,147.582697201018,124.054462934947,169.343065693431,317.10709318498,389.563652721548,361.396303901438,262.170385395538,133.425990271022,225.272791270679,21.9966159052454,179.801071155318
"iii1-15",81.4862063466752,125.578086090359,38.0078636959371,75.1173708920188,0,0,0,0,0,49.4826810616285,26.694045174538,34.9898580121704,5.55941626129257,75.6775783174939,0,48.9671002295333
"[Saprospirales]",125.179397225323,167.022411953042,0,40.620534803021,2.8328611898017,0,0,17.5182481751825,0,38.2366171839856,22.5872689938399,19.2697768762678,18.0681028492008,81.6613868356213,0,49.7322111706198
"Clostridiales",150.0558124701,90.8929206688012,256.880733944954,533.170034700959,678.470254957508,431.297709923665,526.475037821483,505.109489051096,706.536856745481,426.00089968511,761.806981519509,5201.31845841785,2655.31619179986,866.596268919395,2468.69712351946,771.996939556236
"WD2101",35.4010524637219,71.1490572749911,0,3.47009593794652,0,0,0,0,0,1.79937022042285,0,4.05679513184584,0,7.39176346356917,0,0
"Ellin329",11.6408866209536,38.4204909284952,0,16.9422331087977,0,0,0,0,0,9.44669365721998,0,11.1561866125761,47.9499652536484,19.7113692361844,0,5.35577658760521
"Rhodospirillales",132.674214638814,162.21985058698,35.386631716907,145.948152684221,29.7450424929179,44.5292620865141,0,23.3576642335767,22.2531293463144,112.910481331534,41.0677618069816,108.519269776876,86.8658790826964,148.187258007744,52.4534686971236,9.94644223412396
"Burkholderiales",208.898102376017,277.83706865884,121.887287024902,302.51071647275,140.226628895184,80.1526717557253,0,150.36496350365,100.139082058415,251.012145748988,102.669404517454,262.677484787018,97.2897845726199,198.521647307286,255.499153976312,629.686304514155
"Solibacterales",30.1387338542497,36.6417644966204,23.5910878112713,37.1504388650745,9.91501416430596,0,0,17.5182481751825,0,15.2946468735942,8.21355236139632,41.0750507099392,11.8137595552467,22.5272791270679,0,16.8324407039021
"Mycoplasmatales",0,0,3.93184796854522,0.612369871402327,0,0,4.53857791225417,0,0,0,18.4804928131417,0,2.08478109798471,0,0,0
"Bacteroidales",19.2951682347313,15.1191746709356,40.6290956749673,301.081853439477,82.1529745042494,25.4452926208652,22.6928895612708,134.306569343066,11.1265646731572,10.7962213225371,12.3203285420945,171.906693711968,8.33912439193885,5.63181978176698,23.688663282572,455.241009946442
"Rubrobacterales",123.903683623027,163.998577018855,64.2201834862386,46.9483568075117,26.9121813031162,43.2569974554708,22.6928895612708,37.9562043795621,45.8970792767734,76.4732343679713,16.4271047227926,86.2068965517242,9.728978457262,73.2136571629708,13.5363790186125,8.41622035195104
"Ignavibacteriales",0,0,0,0.408246580934885,0,3.81679389312978,0,0,0,0,0,1.01419878296146,0,0,0,0
"unclassified_order",287.832881518099,272.323016720028,140.235910878113,372.72912839355,32.5779036827196,40.7124681933843,22.6928895612708,90.5109489051096,58.4144645340752,273.054430949168,125.256673511294,126.267748478702,27.1021542738013,193.24181626188,21.9966159052454,63.504208110176
