Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TETS,DilutionNone...DilutionHalf,-0.421998900090758,-1.44639759098286,0.602399790801347,10.4956854433225,-0.315929950235366,0.754437282872583,0.948940644863171,-8.29046156282512
TEM,DilutionNone...DilutionHalf,0.0810292163911068,-4.35689595055637,4.51895438333859,9.09843525515003,0.229398925712087,0.820090652832518,0.970033935679114,-8.36380216050626
ANT3-DPRIME,DilutionNone...DilutionHalf,0.232526233139938,-2.57333641509971,3.03838888137959,7.68574687467687,0.589223195079246,0.560052035160529,0.757717459334834,-8.21275841527011
TETC,DilutionNone...DilutionHalf,1.06954362197046,0.621486257053833,1.5176009868871,6.27306587905551,2.26181869794768,0.0315208254033248,0.0773861173974302,-5.92281371498816
CTX,DilutionNone...DilutionHalf,0.261043792757448,-0.843584534359478,1.36567211987437,5.55157201058487,0.497518651789237,0.625019010409163,0.824820169474388,-7.99928938751298
SULI,DilutionNone...DilutionHalf,-0.32690931547515,-2.20644801394665,1.55262938299635,5.38161975864379,-0.667511562705936,0.510660753150286,0.7149250544104,-8.05675770518233
AAC6-PRIME,DilutionNone...DilutionHalf,-0.143941788324924,-1.623402048371,1.33551847172116,5.34888478772059,-0.319897763698108,0.751647327855481,0.948940644863171,-8.2480376287919
CRP,DilutionNone...DilutionHalf,0.255038397740968,-2.71117962243026,3.22125641791219,5.06292251826463,0.287004206399458,0.777017655828341,0.954960630445519,-8.15555788844999
TETW,DilutionNone...DilutionHalf,-0.50245261692463,-2.16909304667428,1.16418781282502,4.83022354658231,-0.908854929058376,0.372947175465738,0.561163507009195,-7.82651571126672
ANT6,DilutionNone...DilutionHalf,0.451437656947283,-2.08646165156818,2.98933696546275,4.05504556381125,0.875631460028472,0.391565662951699,0.578367630598381,-7.79975354576902
QACH,DilutionNone...DilutionHalf,2.00298542836381,-0.643105737248994,4.6490765939766,3.70289844901445,1.54973953873697,0.144631566721251,0.250383680022811,-6.8058066851458
LMRD,DilutionNone...DilutionHalf,-0.398130451228218,-2.3843150002053,1.58805409774886,3.61762188864277,-0.446578985061262,0.660761540449311,0.864899252132838,-8.00776746521655
ACRB,DilutionNone...DilutionHalf,0.670536477351078,-0.88712160605639,2.22819456075855,3.43914045547633,1.33110817989948,0.201225018953142,0.333992041767587,-7.21275551456395
ACC,DilutionNone...DilutionHalf,0.721893335253816,0.00100212348865281,1.44278454701898,3.29170442197577,1.0564758163084,0.310399135663407,0.483823258987046,-7.40968450170037
OQXB,DilutionNone...DilutionHalf,1.61070801270811,1.40279731891691,1.8186187064993,3.02067297015866,2.03340712090469,0.0573402030735529,0.130024967532986,-6.13481470348722
TETJ,DilutionNone...DilutionHalf,2.41287193970991,1.37452367887205,3.45122020054778,2.91571653770985,1.99815649955959,0.0742829133524207,0.144165422269665,-5.98461311233656
ACRF,DilutionNone...DilutionHalf,-0.230726019193809,-2.88676612440811,2.42531408602049,2.77238307425389,-0.236608333663827,0.815819388929968,0.970033935679114,-8.07932807928042
sme,DilutionNone...DilutionHalf,-0.394469106837915,-2.01988956647998,1.23095135280415,2.67442692420615,-0.828100301406053,0.421893340087019,0.602685026796374,-7.65579582423822
AAC3,DilutionNone...DilutionHalf,0.191425667581528,-2.489097377602,2.87194871276506,2.58276546649574,0.319752364937382,0.752845581695546,0.948940644863171,-8.08551299922539
rosB,DilutionNone...DilutionHalf,0.883930214298311,-1.23243675925816,3.00029718785478,2.56953716170321,1.05767618237434,0.312531794625173,0.483823258987046,-7.34767618352176
TOLC,DilutionNone...DilutionHalf,1.15426496563402,-1.78453385528218,4.09306378655022,2.44626652567769,1.28129921907284,0.219183875713747,0.349392118712013,-7.22614348129986
MDTF,DilutionNone...DilutionHalf,-0.81350880081256,-2.87262159481026,1.24560399318514,2.22967486612089,-1.1850928652805,0.264735746244233,0.417867207307074,-7.13182569586732
TETQ,DilutionNone...DilutionHalf,1.07720935856257,-0.0912786382807054,2.24569735540585,2.20667234040031,2.5532918070104,0.0298134398813323,0.0749994347014765,-5.08174544349031
EMRB,DilutionNone...DilutionHalf,1.15627688587728,-0.821002037161072,3.13355580891562,2.09589321454729,1.65970541376489,0.128737062095364,0.233907678454681,-6.53167284532462
TUFAB,DilutionNone...DilutionHalf,1.49249785024708,-1.16237031540375,4.14736601589791,2.09461335368807,2.90193767274777,0.0105100972679543,0.0302165296453685,-4.48038652814804
CPXA,DilutionNone...DilutionHalf,0.560543916212945,-2.23993825611471,3.3610260885406,2.07374178699087,0.856238915742659,0.412848214607139,0.602685026796374,-7.46569307412899
MEXF,DilutionNone...DilutionHalf,1.32553573148831,1.24494423413394,1.40612722884267,1.93133995622098,2.74533457091718,0.018892608463049,0.0515544061449304,-4.79479628814686
