Feature ID	Taxon	Confidence
e6341c90fadf7267d837b0c5a1b6c3ca	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9827892553726412
114335adcc4561a2f297ea0bc0c820e0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens	0.8144706773338088
9fed8c1746bb92784674e82470603d0a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__	0.9999458987621409
9444a7e16204a9dc893753ec2cf36ae6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar	0.99468210869095
9016f7b28635e23ef38bd48461831869	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella	0.8411070042317981
1d836fac3b6510396463b7ff4bb5f867	k__Bacteria	0.8901026750410902
47c7b6edabcf440557ec5ed3afcfda60	k__Bacteria	0.9571669757027924
243b9b403cfb8b05fa82a1d4bd23a543	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	0.9999952356814101
c55e08e90c0bf485fc92cecd0be36e30	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	0.9987579003556779
7fce5e3f68e40e49f325f52edd2bae38	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__	0.9877430873922096
972defa208823c590432ba714795f1f1	k__Bacteria	0.9547037652593128
e1e0ae595d2d18714e495b98906e1942	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__	0.999999989123083
70732034ec158553eb053cbaffd038bc	k__Bacteria	0.9386903962185854
