"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Chelativorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Chthoniobacter",8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Arthrobacter",584,635,30,207,44,39,19,25,19,172,25,35,0,154,0,47
"Vitreoscilla",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Lachnobacterium",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Plesiocystis",21,0,0,58,0,0,0,0,0,8,0,0,0,14,0,0
"Rheinheimera",14,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0
"Opitutus",17,0,3,11,0,0,0,0,0,0,0,0,0,0,0,8
"Rhodobacter",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharopolyspora",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Corynebacterium",31,0,8,23,15,0,0,5,0,25,0,19,8,18,0,77
"Caloramator",13,4,0,22,0,0,0,0,0,6,0,0,0,6,0,0
"Rothia",0,0,0,9,0,0,0,0,0,0,0,26,0,0,9,19
"[Ruminococcus]",0,0,0,42,9,0,0,11,0,0,0,10,15,0,0,14
"Mesorhizobium",88,67,0,53,0,0,0,0,0,17,0,0,0,31,0,12
"Porphyromonas",0,0,0,6,0,0,0,0,0,2,0,8,0,0,0,0
"Bacteroides",14,22,7,420,19,9,8,17,0,5,6,42,12,4,0,12
"Rhizobium",31,39,0,49,0,0,0,0,0,13,0,0,0,12,0,13
"Pantoea",36,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiobacterium",10,5,0,41,3,0,0,0,0,9,0,0,4,3,0,0
"Variovorax",101,103,0,71,0,0,0,0,0,52,0,20,0,38,0,0
"Dehalobacterium",0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,19
"Nocardioides",45,72,0,6,0,0,0,0,0,14,0,0,0,40,0,0
"Terracoccus",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacter",17,0,0,94,8,4,0,8,0,0,0,0,5,0,0,0
"Lactobacillus",53023,29685,19261,13396,57288,50349,68741,49442,30243,52748,18240,14260,66050,32573,10185,29723
"Adlercreutzia",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16
"Sphingopyxis",17,0,15,7,0,0,0,0,0,0,0,0,0,0,0,9
"Coxiella",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Buchnera",13,27,6,35,0,11,7,9,0,0,0,0,0,0,0,0
"u114",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Succinivibrio",0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
"Nitrosococcus",0,0,0,91,0,0,0,0,14,26,15,17,0,0,0,0
"Stenotrophomonas",117,45,19,152,41,35,22,35,22,37,15,146,11,37,0,70
"Dongia",0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Flavisolibacter",92,107,0,45,0,0,0,0,0,6,0,0,0,36,0,0
"Megasphaera",20,25,6,36,18,26,19,17,0,0,0,182,7,0,0,0
"Sutterella",26,6,0,75,0,0,0,8,0,20,0,0,4,13,0,35
"Uliginosibacterium",0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,6
"SHD-231",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
