"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Rhodococcus",0,0,0,42,0,8,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Treponema",0,5,0,2,3,0,0,1,0,0,0,2,0,0,0,0
"Ralstonia",0,10,0,185,10,0,0,0,0,0,0,0,0,0,6,13
"Couchioplanes",0,0,0,80,0,0,0,0,0,0,23,42,0,0,0,0
"Planomicrobium",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conexibacter",71,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Ureibacillus",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacoccus",130,90,0,6,0,0,0,0,0,44,0,0,0,50,0,0
"Alistipes",0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,13
"Rickettsia",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"Hyphomonas",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0
"Prosthecobacter",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
"Frigoribacterium",0,0,0,0,0,0,0,0,0,0,0,27,7,3,0,0
"JG37-AG-70",8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succiniclasticum",0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
"Dietzia",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Syntrophobacter",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Catonella",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Moryella",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Gemmatimonas",0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0
"Rudaea",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Odoribacter",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"Ammoniphilus",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smithella",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoalteromonas",0,0,0,0,0,6,0,4,0,0,8,0,0,0,0,0
"Aggregatibacter",0,0,0,11,7,8,0,26,0,0,0,72,0,0,0,0
"Kingella",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Cystobacter",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Solimonas",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Curtobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"Salinispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Chondromyces",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Pilimelia",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"CF231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Ochrobactrum",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Sporomusa",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Sporocytophaga",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasma",0,0,3,3,0,0,0,0,0,0,9,0,3,0,0,0
"Ecksteinia",0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Candidatus Methylomirabilis",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Dactylosporangium",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"Rugosimonospora",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"Rubricoccus",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pullulanibacillus",16,10,0,0,0,0,0,0,0,10,0,0,0,16,0,0
"Methylophaga",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Gaiella",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganella",14,0,24,14,2,0,0,16,0,0,6,0,0,0,0,0
"Oceanobacillus",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Anoxybacillus",0,19,21,78,0,0,0,0,41,27,0,23,0,0,18,51
"Phycicoccus",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FFCH10602",5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Aerococcus",0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,45
"Ramlibacter",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",47,30,15,273,6,6,0,6,0,10,0,41,0,0,0,15
"Synechococcus",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Rickettsiella",5,4,0,0,0,2,0,0,0,6,0,0,0,0,0,0
"Methanobrevibacter",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Chloronema",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacillus",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Glaciecola",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudofulvimonas",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerovibrio",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrocarboniphaga",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Robinsoniella",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Acidiphilium",4,0,0,43,0,0,0,0,3,0,0,0,0,0,0,0
"Polaromonas",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"Cupriavidus",20,0,9,0,0,0,0,18,0,0,0,0,0,18,0,0
"Akkermansia",22,16,5,259,0,6,0,12,3,0,0,8,0,4,0,0
"RFN20",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Aquabacterium",0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"Parvimonas",0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0
"AF12",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Paraeggerthella",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Alkanibacter",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Legionella",10,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0
"Anaerococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Turneriella",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Algoriphagus",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Salinicoccus",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Rummeliibacillus",34,0,0,7,0,0,0,0,0,0,0,0,0,26,0,0
"Acidopila",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter",8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3
"Duganella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Xanthomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Solibacillus",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"TG5",0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0
"Tissierella_Soehngenia",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
