"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"DH61",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"SHA-20",13,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0
"EW055",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B97",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WCHB1-81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Salinisphaerales",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"CCM11a",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"H39",8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylomirabiliales",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"BPC076",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Nitriliruptorales",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylophilales",0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0
"IS-44",0,0,0,86,0,0,0,0,0,18,0,9,0,0,0,0
"AKAU3564",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"PBS-III-9",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Thiobacterales",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"T8-B82",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfarculales",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcales",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Methanobacteriales",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"NB1-j",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"OPB54",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CPla-3",15,32,0,6,0,0,0,0,0,0,0,0,0,0,0,3
"[Leptospirales]",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"KD8-87",0,0,0,28,0,0,0,0,0,9,0,0,0,0,0,0
"C20",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
