"ID","SampleID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"44","FC.134A1in2_concatenated","FC_134","Sample 6.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Gene",62
"45","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Class",8
"46","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Mechanism",14
"47","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Group",29
"48","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Gene",63
"49","FC.142A1in2_concatenated","FC_142","Sample 7.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Class",7
"50","FC.142A1in2_concatenated","FC_142","Sample 7.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Mechanism",11
"51","FC.142A1in2_concatenated","FC_142","Sample 7.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Group",18
"52","FC.142A1in2_concatenated","FC_142","Sample 7.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Gene",33
"53","FC.142A_concatenated","FC_142","Sample 7.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3",34983723,33538488,78496,5346,3793,5303,5303,106060,8,0.14540795815715,14,0.192906478120764,"Class",8
"54","FC.142A_concatenated","FC_142","Sample 7.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3",34983723,33538488,78496,5346,3793,5303,5303,106060,8,0.14540795815715,14,0.192906478120764,"Mechanism",14
"55","FC.142A_concatenated","FC_142","Sample 7.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3",34983723,33538488,78496,5346,3793,5303,5303,106060,8,0.14540795815715,14,0.192906478120764,"Group",29
"56","FC.142A_concatenated","FC_142","Sample 7.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3",34983723,33538488,78496,5346,3793,5303,5303,106060,8,0.14540795815715,14,0.192906478120764,"Gene",94
"57","FC.143A1in2_concatenated","FC_143","Sample 8.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Class",5
"58","FC.143A1in2_concatenated","FC_143","Sample 8.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Mechanism",7
"59","FC.143A1in2_concatenated","FC_143","Sample 8.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Group",12
"60","FC.143A1in2_concatenated","FC_143","Sample 8.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Gene",38
"61","FC.143A_concatenated","FC_143","Sample 8.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Class",6
"62","FC.143A_concatenated","FC_143","Sample 8.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Mechanism",8
"63","FC.143A_concatenated","FC_143","Sample 8.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Group",17
"64","FC.143A_concatenated","FC_143","Sample 8.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Gene",55
"65","FC.161A1in2_concatenated","FC_161","Sample 9.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1",67058362,64579770,824877,77764,23388,34143,34143,588672.413793105,8,0.0332675866765589,10,0.724126006313967,"Class",8
"66","FC.161A1in2_concatenated","FC_161","Sample 9.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1",67058362,64579770,824877,77764,23388,34143,34143,588672.413793105,8,0.0332675866765589,10,0.724126006313967,"Mechanism",10
"67","FC.161A1in2_concatenated","FC_161","Sample 9.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1",67058362,64579770,824877,77764,23388,34143,34143,588672.413793105,8,0.0332675866765589,10,0.724126006313967,"Group",19
"68","FC.161A1in2_concatenated","FC_161","Sample 9.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1",67058362,64579770,824877,77764,23388,34143,34143,588672.413793105,8,0.0332675866765589,10,0.724126006313967,"Gene",49
"69","FC.161A_concatenated","FC_161","Sample 9.1","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Class",9
"70","FC.161A_concatenated","FC_161","Sample 9.1","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Mechanism",15
"71","FC.161A_concatenated","FC_161","Sample 9.1","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Group",32
"72","FC.161A_concatenated","FC_161","Sample 9.1","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Gene",103
"73","FC.162A1in2_concatenated","FC_162","Sample 10.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1",50459468,48697965,126973,946,810,1619,1619,29436.3636363637,10,0.532803139185042,17,0.791354224684378,"Class",10
"74","FC.162A1in2_concatenated","FC_162","Sample 10.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1",50459468,48697965,126973,946,810,1619,1619,29436.3636363637,10,0.532803139185042,17,0.791354224684378,"Mechanism",17
"75","FC.162A1in2_concatenated","FC_162","Sample 10.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1",50459468,48697965,126973,946,810,1619,1619,29436.3636363637,10,0.532803139185042,17,0.791354224684378,"Group",34
"76","FC.162A1in2_concatenated","FC_162","Sample 10.2","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1",50459468,48697965,126973,946,810,1619,1619,29436.3636363637,10,0.532803139185042,17,0.791354224684378,"Gene",72
"77","FC.162A_concatenated","FC_162","Sample 10.1","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1",54399943,52389506,165437,1919,1647,2792,2792,31727.2727272728,10,0.636913604023653,20,1.09005313510378,"Class",10
"78","FC.162A_concatenated","FC_162","Sample 10.1","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1",54399943,52389506,165437,1919,1647,2792,2792,31727.2727272728,10,0.636913604023653,20,1.09005313510378,"Mechanism",20
"79","FC.162A_concatenated","FC_162","Sample 10.1","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1",54399943,52389506,165437,1919,1647,2792,2792,31727.2727272728,10,0.636913604023653,20,1.09005313510378,"Group",47
"80","FC.162A_concatenated","FC_162","Sample 10.1","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1",54399943,52389506,165437,1919,1647,2792,2792,31727.2727272728,10,0.636913604023653,20,1.09005313510378,"Gene",104
"81","FC.172A1in2_concatenated","FC_172","Sample 11.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",39790090,38407079,1104944,22850,11170,20120,20120,264736.842105264,10,0.316633893518961,16,0.365593598460608,"Class",10
"82","FC.172A1in2_concatenated","FC_172","Sample 11.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",39790090,38407079,1104944,22850,11170,20120,20120,264736.842105264,10,0.316633893518961,16,0.365593598460608,"Mechanism",16
"83","FC.172A1in2_concatenated","FC_172","Sample 11.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",39790090,38407079,1104944,22850,11170,20120,20120,264736.842105264,10,0.316633893518961,16,0.365593598460608,"Group",42
"84","FC.172A1in2_concatenated","FC_172","Sample 11.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",39790090,38407079,1104944,22850,11170,20120,20120,264736.842105264,10,0.316633893518961,16,0.365593598460608,"Gene",104
"85","FC.172A_concatenated","FC_172","Sample 11.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",45710363,44090217,1410649,1025,930,2147,2147,69258.0645161293,8,0.659584626277777,14,0.72608324953291,"Class",8
"86","FC.172A_concatenated","FC_172","Sample 11.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",45710363,44090217,1410649,1025,930,2147,2147,69258.0645161293,8,0.659584626277777,14,0.72608324953291,"Mechanism",14
