"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"32","FC.123A_concatenated","FC_123","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",37062617,35657217,20149,0,0,80,79,3038.46153846155,6,1.50775732175294,9,1.81835487929403,"Gene",44
"33","FC.133A1in2_concatenated","FC_133","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Class",3.43619023657764
"34","FC.133A1in2_concatenated","FC_133","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Mechanism",3.73889318968717
"35","FC.133A1in2_concatenated","FC_133","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Group",4.96041442848937
"36","FC.133A1in2_concatenated","FC_133","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Gene",14.098682895311
"37","FC.133A_concatenated","FC_133","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Class",4.42371506064617
"38","FC.133A_concatenated","FC_133","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Mechanism",4.80301772841408
"39","FC.133A_concatenated","FC_133","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Group",6.45543956676368
"40","FC.133A_concatenated","FC_133","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1","KingSoopers",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Gene",10.0866937037556
"41","FC.134A1in2_concatenated","FC_134","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Class",3.95091956812146
"42","FC.134A1in2_concatenated","FC_134","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Mechanism",4.50227341431968
"43","FC.134A1in2_concatenated","FC_134","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Group",6.58380408026846
