"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"49","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Class",1.06048725682205
"50","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Mechanism",1.07365632295465
"51","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Group",1.68615063121903
"52","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Gene",5.98513821592125
"53","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Class",1.05063303628838
"54","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Mechanism",1.06457952878903
"55","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Group",1.6185321653225
"56","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Gene",8.21439500109287
"57","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Class",1.24634549225629
"58","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Mechanism",1.29066776417327
