"ID","X.SampleID","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"17","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Class",38.1597076012315
"18","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Order",58.5152208675264
"19","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Family",78.1013037062407
"20","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Genus",62.5083194642225
"21","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Species",21.7813511091407
"22","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Domain",2.99999999999999
"23","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Phylum",38.6429905299224
"24","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Class",105.22674319817
"25","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Order",166.392521380341
"26","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Family",206.932781211487
