"ID","X.SampleID","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"17","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Class",1.09869821414436
"18","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Order",1.10494759368542
"19","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Family",1.71250480713801
"20","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Genus",1.64167403510279
"21","FC_122","FC_122","Fort Collins","RWA",NA,"Vacuum",85,"Store4","Sprouts",213646,197900,40696,40451,175406,229889.908256881,3,0.00138386057728635,16,0.206973830857723,40,0.255874802422097,61,0.307080470069439,81,0.939821458943422,66,0.85991089609198,22,1.32034447532058,"Species",2.73316784391326
"22","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Domain",1.00155613884841
"23","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Phylum",2.26500432714895
"24","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Class",2.84095089690496
"25","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Order",3.08302962219827
"26","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Family",6.11250678056911
