"ID","SampleID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"24","FC.122A_concatenated","FC_122","Sample 3.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store4",42523674,41038940,98088,32208,14459,19089,19089,272700,9,0.0948818279227387,18,0.114627793817063,"Gene",10.126582278481
"25","FC.123A1in2_concatenated","FC_123","Sample 4.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Class",3.95061728395062
"26","FC.123A1in2_concatenated","FC_123","Sample 4.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Mechanism",5.17799352750809
"27","FC.123A1in2_concatenated","FC_123","Sample 4.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Group",5.50774526678141
"28","FC.123A1in2_concatenated","FC_123","Sample 4.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Gene",23.5294117647059
"29","FC.123A_concatenated","FC_123","Sample 4.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4",37062617,35657217,20149,0,0,80,80,3076.92307692309,7,1.55610723559372,10,1.86282232366555,"Class",3.9360393603936
"30","FC.123A_concatenated","FC_123","Sample 4.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4",37062617,35657217,20149,0,0,80,80,3076.92307692309,7,1.55610723559372,10,1.86282232366555,"Mechanism",4.97667185069984
"31","FC.123A_concatenated","FC_123","Sample 4.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4",37062617,35657217,20149,0,0,80,80,3076.92307692309,7,1.55610723559372,10,1.86282232366555,"Group",6.00375234521576
"32","FC.123A_concatenated","FC_123","Sample 4.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4",37062617,35657217,20149,0,0,80,80,3076.92307692309,7,1.55610723559372,10,1.86282232366555,"Gene",27.5862068965517
"33","FC.133A1in2_concatenated","FC_133","Sample 5.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Class",1.0515938218863
"34","FC.133A1in2_concatenated","FC_133","Sample 5.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Mechanism",1.16575591985428
"35","FC.133A1in2_concatenated","FC_133","Sample 5.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Group",1.10688343133864
"36","FC.133A1in2_concatenated","FC_133","Sample 5.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",92,"Store1",15200330,14620247,27615,10148,5355,6833,6833,77647.7272727274,8,0.273814637617989,15,0.302584528787754,"Gene",6.32411067193676
"37","FC.133A_concatenated","FC_133","Sample 5.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Class",1.19536794919686
"38","FC.133A_concatenated","FC_133","Sample 5.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Mechanism",1.16575591985428
"39","FC.133A_concatenated","FC_133","Sample 5.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Group",1.22935074913561
"40","FC.133A_concatenated","FC_133","Sample 5.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",92,"Store1",41617299,39968343,65852,498,446,628,628,25120.0000000001,7,0.393541589131304,9,0.422363576663134,"Gene",5.103668261563
"41","FC.134A1in2_concatenated","FC_134","Sample 6.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Class",1.1949215832711
"42","FC.134A1in2_concatenated","FC_134","Sample 6.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Mechanism",1.26182965299685
"43","FC.134A1in2_concatenated","FC_134","Sample 6.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Group",1.81097906055461
"44","FC.134A1in2_concatenated","FC_134","Sample 6.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Gene",9.32944606413994
"45","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Class",1.10688343133864
"46","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Mechanism",1.26482213438735
"47","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Group",2.38627889634601
"48","FC.134A_concatenated","FC_134","Sample 6.1","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Gene",8.51063829787234
"49","FC.142A1in2_concatenated","FC_142","Sample 7.2","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Class",1.02531239987184
